title,year,director,country,runtime_minutes,rating,list_name,award_year,result,tags,source,ai_review,review
La La Land,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,La La Land entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Lion,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Lion entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Manchester by the Sea,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Manchester by the Sea entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Shape of Water,2017,Unknown,Unknown,,8,21c best picture nominations,2018,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2018; oscar-winner,Academy Best Picture nominations import,The Shape of Water entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Call Me by Your Name,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Call Me by Your Name entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Darkest Hour,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Darkest Hour entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Dunkirk,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Dunkirk entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Get Out,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Get Out entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Lady Bird,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Lady Bird entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Phantom Thread,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,Phantom Thread entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Post,2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,The Post entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
"Three Billboards Outside Ebbing, Missouri",2017,Unknown,Unknown,,8,21c best picture nominations,2018,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2018,Academy Best Picture nominations import,"Three Billboards Outside Ebbing, Missouri entered the Best Picture conversation; now it has to survive one sentence.",Human champion pending.
Green Book,2018,Unknown,Unknown,,8,21c best picture nominations,2019,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2019; oscar-winner,Academy Best Picture nominations import,Green Book entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Black Panther,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,Black Panther entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
BlacKkKlansman,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,BlacKkKlansman entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Bohemian Rhapsody,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,Bohemian Rhapsody entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Favourite,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,The Favourite entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Roma,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,Roma entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
A Star Is Born,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,A Star Is Born entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Vice,2018,Unknown,Unknown,,8,21c best picture nominations,2019,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2019,Academy Best Picture nominations import,Vice entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Parasite,2019,Unknown,Unknown,,8,21c best picture nominations,2020,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2020; oscar-winner,Academy Best Picture nominations import,Parasite entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Ford v Ferrari,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Ford v Ferrari entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Irishman,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,The Irishman entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Jojo Rabbit,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Jojo Rabbit entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Joker,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Joker entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Little Women,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Little Women entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Marriage Story,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Marriage Story entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
1917,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,1917 entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Once Upon a Time in Hollywood,2019,Unknown,Unknown,,8,21c best picture nominations,2020,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2020,Academy Best Picture nominations import,Once Upon a Time in Hollywood entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Nomadland,2020,Unknown,Unknown,,8,21c best picture nominations,2021,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2021; oscar-winner,Academy Best Picture nominations import,Nomadland entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Father,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,The Father entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Judas and the Black Messiah,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,Judas and the Black Messiah entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Mank,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,Mank entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Minari,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,Minari entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Promising Young Woman,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,Promising Young Woman entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Sound of Metal,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,Sound of Metal entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Trial of the Chicago 7,2020,Unknown,Unknown,,8,21c best picture nominations,2021,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2021,Academy Best Picture nominations import,The Trial of the Chicago 7 entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
CODA,2021,Unknown,Unknown,,8,21c best picture nominations,2022,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2022; oscar-winner,Academy Best Picture nominations import,CODA entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Belfast,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Belfast entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Don't Look Up,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Don't Look Up entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Drive My Car,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Drive My Car entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Dune,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Dune entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
King Richard,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,King Richard entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Licorice Pizza,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Licorice Pizza entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Nightmare Alley,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,Nightmare Alley entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Power of the Dog,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,The Power of the Dog entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
West Side Story,2021,Unknown,Unknown,,8,21c best picture nominations,2022,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2022,Academy Best Picture nominations import,West Side Story entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Everything Everywhere All at Once,2022,Unknown,Unknown,,8,21c best picture nominations,2023,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2023; oscar-winner,Academy Best Picture nominations import,Everything Everywhere All at Once entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
All Quiet on the Western Front,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,All Quiet on the Western Front entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Avatar: The Way of Water,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Avatar: The Way of Water entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Banshees of Inisherin,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,The Banshees of Inisherin entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Elvis,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Elvis entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Fabelmans,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,The Fabelmans entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Tár,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Tár entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Top Gun: Maverick,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Top Gun: Maverick entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Triangle of Sadness,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Triangle of Sadness entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Women Talking,2022,Unknown,Unknown,,8,21c best picture nominations,2023,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2023,Academy Best Picture nominations import,Women Talking entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Oppenheimer,2023,Unknown,Unknown,,8,21c best picture nominations,2024,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2024; oscar-winner,Academy Best Picture nominations import,Oppenheimer entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
American Fiction,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,American Fiction entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Anatomy of a Fall,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Anatomy of a Fall entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Barbie,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Barbie entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Holdovers,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,The Holdovers entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Killers of the Flower Moon,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Killers of the Flower Moon entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Maestro,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Maestro entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Past Lives,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Past Lives entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Poor Things,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,Poor Things entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Zone of Interest,2023,Unknown,Unknown,,8,21c best picture nominations,2024,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2024,Academy Best Picture nominations import,The Zone of Interest entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Anora,2024,Unknown,Unknown,,8,21c best picture nominations,2025,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2025; oscar-winner,Academy Best Picture nominations import,Anora entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Brutalist,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,The Brutalist entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
A Complete Unknown,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,A Complete Unknown entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Conclave,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,Conclave entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Dune: Part Two,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,Dune: Part Two entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Emilia Pérez,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,Emilia Pérez entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
I'm Still Here,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,I'm Still Here entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Nickel Boys,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,Nickel Boys entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Substance,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,The Substance entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Wicked,2024,Unknown,Unknown,,8,21c best picture nominations,2025,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2025,Academy Best Picture nominations import,Wicked entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
